Id,SalePrice
1461,137756.56
1462,158661.5
1463,201047.25
1464,201808.33
1465,196703.39
1466,178491.52
1467,179986.69
1468,173625.42
1469,175906.25
1470,126815.46
1471,192465.86
1472,98596.51
1473,100611.09
1474,156339.39
1475,144312.73
1476,355297.2
1477,250012.34
1478,271066.72
1479,250241.39
1480,434253.34
1481,341137.66
1482,220317.92
1483,178458.31
1484,169312.58
1485,174483.44
1486,198907.06
1487,426514.3
1488,225598.03
1489,209445.61
1490,206574.67
1491,186549.33
1492,105652.375
1493,187247.5
1494,270726.12
1495,279305.72
1496,195097.42
1497,187524.38
1498,162139.42
1499,165996.2
1500,163026.67
1501,182307.9
1502,157095.06
1503,325261.78
1504,230465.17
1505,226098.61
1506,197546.94
1507,235575.56
1508,210200.19
1509,170986.22
1510,154105.06
1511,140590.36
1512,169379.67
1513,153194.53
1514,173196.05
1515,178208.58
1516,176293.05
1517,145783.55
1518,135216.78
1519,206724.2
1520,135328.9
1521,142558.5
1522,171746.3
1523,103602.664
1524,128182.64
1525,123318.22
1526,124067.414
1527,115171.67
1528,118981.4
1529,145870.1
1530,163813.73
1531,134143.89
1532,102990.36
1533,139072.7
1534,121597.04
1535,153986.53
1536,127489.21
1537,91197.2
1538,170183.89
1539,163813.17
1540,122300.18
1541,171939.56
1542,160147.97
1543,175662.83
1544,88314.41
1545,120038.88
1546,128675.2
1547,139002.28
1548,143909.94
1549,125247.96
1550,152173.16
1551,126367.69
1552,145624.58
1553,168253.95
1554,114191.93
1555,197588.77
1556,121404.71
1557,128488.84
1558,105302.734
1559,128578.46
1560,144282.12
1561,143621.72
1562,130829.734
1563,129710.04
1564,160794.48
1565,147233.16
1566,246437.73
1567,105889.97
1568,241387.05
1569,158688.16
1570,154441.7
1571,133312.8
1572,157633
1573,246273.95
1574,114999.99
1575,197875.62
1576,220106.11
1577,212792.33
1578,162995.11
1579,147117.69
1580,188172.61
1581,161013.33
1582,138527.5
1583,310083.75
1584,235986.4
1585,147490.5
1586,77253.625
1587,113416.67
1588,168163.45
1589,109031.76
1590,136700.84
1591,89306.21
1592,127819.77
1593,128149.12
1594,129477.75
1595,114373.73
1596,227803.75
1597,213274
1598,212611.22
1599,186100.72
1600,188385.81
1601,74420.96
1602,111553.69
1603,103902.25
1604,295856.97
1605,212816.6
1606,165547.05
1607,170162.83
1608,209464.05
1609,203200.53
1610,175073.25
1611,139509.05
1612,163468.84
1613,148223.81
1614,115717.34
1615,86761.53
1616,78569.66
1617,90721.61
1618,130632.11
1619,138611.69
1620,168664.89
1621,121039.7
1622,138593.94
1623,258918.34
1624,210615.64
1625,121214.97
1626,161378.72
1627,187842.11
1628,260283.53
1629,187953.02
1630,436339.3
1631,235393.56
1632,271362.1
1633,169131.4
1634,191348.81
1635,183792.53
1636,162502.05
1637,192198.95
1638,185962.66
1639,183799.44
1640,246777.64
1641,183326.97
1642,228768.4
1643,211044.36
1644,216366.8
1645,182000.17
1646,156737.31
1647,156993.28
1648,129241.484
1649,134801.89
1650,122007.91
1651,122207.25
1652,93884.36
1653,102806.24
1654,154288.03
1655,162977.08
1656,150881.27
1657,158586.45
1658,148047.5
1659,141179.14
1660,153789.92
1661,398807.03
1662,350567.72
1663,332449.97
1664,440160.25
1665,268532.2
1666,293460.28
1667,386248.47
1668,280759.4
1669,234676.97
1670,289544.06
1671,268638.3
1672,429365.03
1673,294903.1
1674,250509.27
1675,190423.9
1676,188197.48
1677,211945.6
1678,463778.3
1679,443937.7
1680,347841.62
1681,226494.89
1682,288299.8
1683,186482.2
1684,169814.56
1685,173056.03
1686,161858.6
1687,169607.77
1688,190356.11
1689,193727.89
1690,184025.33
1691,180840.66
1692,255270.75
1693,167145.47
1694,188825.5
1695,167384.75
1696,247910.86
1697,168990.94
1698,349488.44
1699,329802.06
1700,240373.8
1701,259204.05
1702,266539.7
1703,237929.6
1704,293158.8
1705,190085.22
1706,394387.75
1707,226746.34
1708,222483.53
1709,272474.6
1710,232428.02
1711,198612.6
1712,273805.56
1713,239960.62
1714,225527.19
1715,208911.38
1716,188805.1
1717,159765.9
1718,144161.11
1719,198199.25
1720,226186.55
1721,158064.7
1722,147661.33
1723,160738.42
1724,205138.11
1725,250097.27
1726,183981.98
1727,167625.94
1728,178898.12
1729,172192.9
1730,181558.38
1731,99547.586
1732,128400.46
1733,121434.25
1734,120469.94
1735,121048.17
1736,114152.09
1737,282066.78
1738,221023.6
1739,304142.3
1740,210195.52
1741,196924.06
1742,173099.14
1743,161370.02
1744,308026
1745,243054.84
1746,248301.75
1747,198533.45
1748,210958.44
1749,151306.12
1750,138895.52
1751,222235.39
1752,116810.375
1753,142196.03
1754,203701.17
1755,162092.16
1756,132463.84
1757,123205.74
1758,155085.58
1759,161553.27
1760,156170.02
1761,132268.89
1762,182831.36
1763,154722.52
1764,123539.016
1765,162934.72
1766,175091.9
1767,184263.4
1768,151277.27
1769,170738.14
1770,137911.97
1771,136607.72
1772,146621.78
1773,125685.63
1774,153944.73
1775,133608.31
1776,130420.56
1777,117267.61
1778,139149.4
1779,133171.8
1780,167474.42
1781,150471.97
1782,87108.98
1783,146513.73
1784,99234.164
1785,124649.94
1786,162744.62
1787,158355.69
1788,70228.26
1789,102880.54
1790,87045.94
1791,195846.31
1792,171556.84
1793,128003.78
1794,149140.03
1795,140358.66
1796,145732.12
1797,124102.484
1798,130054.67
1799,110555.25
1800,136108.53
1801,136523.02
1802,149391.34
1803,149609.27
1804,152851.77
1805,132625.48
1806,123121.42
1807,134820.67
1808,117794.6
1809,137890.2
1810,163074.36
1811,113114.555
1812,122901.05
1813,123634.66
1814,103974.57
1815,74786.06
1816,107020
1817,155545.16
1818,159438.31
1819,108935.93
1820,84766.75
1821,134473.73
1822,167221.23
1823,81969.59
1824,148854.19
1825,134947.75
1826,114282.14
1827,112579.43
1828,143939.8
1829,127826.164
1830,160619.5
1831,167063.5
1832,109957.98
1833,140845.81
1834,126156.46
1835,133723.27
1836,161068.7
1837,122000.09
1838,136969.94
1839,94310.37
1840,158770.25
1841,143498.58
1842,93307.125
1843,163614.38
1844,137396.9
1845,138781.6
1846,153128.75
1847,157204.7
1848,54685.617
1849,133626.05
1850,128296.39
1851,157913.66
1852,127105.08
1853,128924.86
1854,155356.81
1855,150700.25
1856,216417.52
1857,176392.5
1858,148962.9
1859,121759.016
1860,153059.47
1861,121276.97
1862,304359.78
1863,306436.62
1864,306436.62
1865,271900.6
1866,272589.12
1867,236421.6
1868,305763.88
1869,198555.55
1870,230386.72
1871,217742.52
1872,171093.19
1873,216170.3
1874,145650.78
1875,215895.39
1876,202085.05
1877,206606.77
1878,211960.77
1879,141233.4
1880,137747.12
1881,236098.92
1882,235226.11
1883,199222.73
1884,204445.77
1885,259718.78
1886,301714.1
1887,197618.78
1888,278573.03
1889,173081.03
1890,138836.06
1891,140944.73
1892,92507.78
1893,141442.88
1894,137871.81
1895,137976.12
1896,121224.94
1897,100779.195
1898,124145.89
1899,164733.66
1900,166353
1901,176024.2
1902,151367.62
1903,185241.23
1904,136937.16
1905,182459.42
1906,174298.25
1907,215502
1908,133677.28
1909,137806.44
1910,128985.85
1911,217098.33
1912,301516.1
1913,198179.11
1914,82277.836
1915,342496.44
1916,90722.164
1917,236635.38
1918,137934.36
1919,165912.75
1920,144686.97
1921,400434.8
1922,317630.53
1923,207728.12
1924,202817.61
1925,208806
1926,382538.7
1927,134624.4
1928,146397.7
1929,121113.016
1930,140166.66
1931,138050.95
1932,123164.97
1933,176756.22
1934,186212.11
1935,181479.53
1936,195160.77
1937,194669.33
1938,194782.73
1939,234403.7
1940,192263.28
1941,170865.1
1942,197563.92
1943,202422.81
1944,341424.2
1945,352266.78
1946,179726.94
1947,303136.47
